Date,Close,Volume
2025-02-14,158.54989624023438,2390053
2025-02-17,158.0994873046875,1976104
2025-02-18,155.82818603515625,2577577
2025-02-19,154.45794677734375,3262757
2025-02-20,151.3384552001953,2747437
2025-02-21,147.45126342773438,3845525
2025-02-24,151.82437133789062,2875480
2025-02-25,149.9196319580078,1762476
2025-02-26,151.853515625,1504902
2025-02-27,151.88267517089844,1580374
2025-02-28,152.3199920654297,5342538
2025-03-03,152.69898986816406,1846285
2025-03-04,153.31121826171875,1467357
2025-03-05,151.97984313964844,1730411
2025-03-06,149.25881958007812,2374229
2025-03-07,144.31234741210938,2627604
2025-03-10,143.96249389648438,1456710
2025-03-11,142.7769012451172,2523185
2025-03-12,140.71669006347656,2922633
2025-03-13,139.9392547607422,2669521
2025-03-14,138.34548950195312,2741381
2025-03-17,140.5806427001953,1734195
2025-03-18,140.13360595703125,1552183
2025-03-19,138.7439422607422,1612901
2025-03-20,141.8148193359375,3402826
2025-03-21,141.494140625,6482426
2025-03-24,143.46690368652344,1308316
2025-03-25,144.43869018554688,1599602
2025-03-26,145.99356079101562,2043159
2025-03-27,145.8089141845703,1722640
2025-03-28,146.1879119873047,1796660
2025-03-31,146.673828125,2709628
2025-04-01,148.90896606445312,2083216
2025-04-02,150.4541473388672,2165184
2025-04-03,151.96041870117188,2343479
2025-04-04,149.65725708007812,3504025
2025-04-07,140.3376922607422,3802825
2025-04-08,144.2734832763672,3194841
2025-04-09,144.93429565429688,2725662
2025-04-10,150.17230224609375,2783794
2025-04-11,150.3180694580078,4265891
2025-04-14,152.85447692871094,1938840
2025-04-15,153.58331298828125,1866228
2025-04-16,154.82723999023438,2008112
2025-04-17,156.7028045654297,1964171
2025-04-22,163.26246643066406,5974009
2025-04-23,159.15174865722656,2891637
2025-04-24,160.074951171875,1863637
2025-04-28,158.2576904296875,2730886
2025-04-29,158.38401794433594,1617274
2025-04-30,161.90194702148438,3925047
2025-05-01,162.5336151123047,1809325
2025-05-02,164.8756561279297,2436302
2025-05-05,162.22262573242188,1826786
2025-05-06,162.03799438476562,1208101
2025-05-07,161.27999877929688,3183649
2025-05-08,160.84266662597656,2728312
2025-05-09,162.3295135498047,1823621
2025-05-12,162.465576171875,1165001
2025-05-13,161.4549102783203,1415682
2025-05-14,162.77655029296875,1954555
2025-05-15,164.95339965820312,2752729
2025-05-16,164.8756561279297,3762751
2025-05-19,166.5277099609375,1535720
2025-05-20,167.56753540039062,1796398
2025-05-21,170.04562377929688,2582355
2025-05-22,167.849365234375,1853995
2025-05-23,168.93777465820312,1672870
2025-05-26,168.9766387939453,765883
2025-05-27,170.3954620361328,1236086
2025-05-28,168.88917541503906,1440731
2025-05-29,169.52085876464844,1156865
2025-05-30,170.98828125,5011347
2025-06-02,171.4450225830078,1055676
2025-06-03,173.60240173339844,1701236
2025-06-04,175.9930419921875,2142069
2025-06-05,176.2262725830078,1689652
2025-06-06,174.82687377929688,1820710
2025-06-10,176.86766052246094,2839373
2025-06-11,176.28457641601562,1412451
2025-06-12,175.43910217285156,1817457
2025-06-13,174.29238891601562,1725793
2025-06-16,174.35069274902344,1159837
2025-06-17,174.08831787109375,1402425
2025-06-18,175.09896850585938,1798143
2025-06-19,177.69369506835938,2085226
2025-06-20,177.38270568847656,6388012
2025-06-23,179.15139770507812,1407371
2025-06-24,182.82479858398438,2243842
2025-06-25,186.00257873535156,2247175
2025-06-26,185.33204650878906,1926397
2025-06-27,180.13290405273438,2059721
2025-06-30,179.5401153564453,2762322
2025-07-01,177.43130493164062,2968299
2025-07-02,178.49057006835938,3202955
2025-07-03,174.622802734375,1989031
2025-07-04,172.98045349121094,2022811
2025-07-07,172.79580688476562,1233379
2025-07-08,174.224365234375,2169151
2025-07-09,173.85508728027344,1361633
2025-07-10,175.28363037109375,1506974
2025-07-11,174.3604278564453,1396922
2025-07-14,173.68016052246094,897592
2025-07-15,174.69082641601562,1012788
2025-07-16,172.56259155273438,1592632
2025-07-17,175.70150756835938,2856557
2025-07-18,177.314697265625,3632614
2025-07-21,172.8541259765625,1341894
2025-07-22,167.5578155517578,2384136
2025-07-23,168.4130096435547,2172774
2025-07-24,168.5782012939453,1622393
2025-07-25,167.9951171875,1626092
2025-07-28,169.96788024902344,1249203
2025-07-29,169.3750762939453,1313893
