F2.1 CAPITAL MARKET YIELDS – GOVERNMENT BONDS
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
Description,"Yields on Australian government bonds, interpolated, 2 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum


Source,RBA,RBA,RBA,RBA,RBA
Publication date,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026
Series ID,FCMYGBAG2,FCMYGBAG3,FCMYGBAG5,FCMYGBAG10,FCMYGBAGI
31-Jan-2021,0.079,0.106,0.373,1.053,-0.740
28-Feb-2021,0.098,0.111,0.485,1.334,-0.576
31-Mar-2021,0.091,0.103,0.708,1.707,-0.376
30-Apr-2021,0.074,0.105,0.692,1.676,-0.456
31-May-2021,0.073,0.106,0.700,1.660,-0.549
30-Jun-2021,0.047,0.143,0.732,1.531,-0.545
31-Jul-2021,0.044,0.158,0.637,1.254,-0.753
31-Aug-2021,0.026,0.152,0.575,1.135,-0.809
30-Sep-2021,0.011,0.186,0.664,1.282,-0.689
31-Oct-2021,0.165,0.587,1.105,1.710,-0.462
30-Nov-2021,0.567,0.946,1.376,1.806,-0.353
31-Dec-2021,0.527,0.935,1.324,1.609,-0.541
31-Jan-2022,0.718,1.148,1.543,1.888,-0.378
28-Feb-2022,1.016,1.484,1.813,2.111,-0.173
31-Mar-2022,1.339,1.884,2.210,2.500,-0.023
30-Apr-2022,2.148,2.534,2.774,3.008,0.490
31-May-2022,2.602,2.888,3.091,3.381,0.904
30-Jun-2022,2.934,3.291,3.495,3.767,1.342
31-Jul-2022,2.683,3.007,3.158,3.429,1.245
31-Aug-2022,2.886,3.062,3.149,3.361,1.018
30-Sep-2022,3.247,3.405,3.504,3.747,1.531
31-Oct-2022,3.307,3.448,3.610,3.919,1.629
30-Nov-2022,3.193,3.274,3.421,3.696,1.355
31-Dec-2022,3.108,3.188,3.306,3.551,1.130
31-Jan-2023,3.156,3.208,3.329,3.604,1.185
28-Feb-2023,3.352,3.393,3.465,3.702,1.250
31-Mar-2023,3.077,3.122,3.203,3.468,1.146
30-Apr-2023,2.913,2.992,3.055,3.343,1.022
31-May-2023,3.228,3.199,3.216,3.500,1.155
30-Jun-2023,3.951,3.841,3.780,3.916,1.465
31-Jul-2023,4.072,3.975,3.909,4.036,1.584
31-Aug-2023,3.897,3.836,3.858,4.128,1.662
30-Sep-2023,3.940,3.905,3.935,4.211,1.701
31-Oct-2023,4.190,4.122,4.235,4.633,2.048
30-Nov-2023,4.254,4.186,4.253,4.578,1.979
31-Dec-2023,3.896,3.812,3.860,4.187,1.646
31-Jan-2024,3.827,3.741,3.800,4.148,1.590
29-Feb-2024,3.775,3.711,3.779,4.141,1.639
31-Mar-2024,3.719,3.654,3.714,4.045,1.563
30-Apr-2024,3.908,3.853,3.917,4.268,1.717
31-May-2024,4.027,3.969,4.020,4.325,1.826
